,SPY,M0,M1,M2,M3,M4,M5,M6,M7,M_Unified
2023-12-25 00:00:00+00:00,2.6280117607189033,2.5620062242467094,2.5365733520642917,2.5065280532606997,2.4771682064308473,2.5562615437931755,2.5562615437931755,2.5562615437931755,0.9074762304276578,1.5077299703346754
2023-12-26 00:00:00+00:00,2.6403192211784012,2.5647537987147393,2.5431855003482373,2.512736387467385,2.4824131801822644,2.558970155407937,2.558970155407937,2.558970155407937,0.9076974375834717,1.5084392433141054
2023-12-27 00:00:00+00:00,2.6727040473675623,2.567489072041494,2.5438169566014674,2.513483206777149,2.483733331677796,2.5617684534522147,2.5617684534522147,2.5617684534522147,0.908984818305179,1.5105269709905176
2023-12-28 00:00:00+00:00,2.637704998507702,2.5652352406542756,2.541219792159375,2.510895453846168,2.4806985174774168,2.5595110513719153,2.5595110513719153,2.5595110513719153,0.909272571405813,1.510434618439274
2023-12-29 00:00:00+00:00,2.655423985971527,2.5581197071902264,2.525903439003029,2.496037904637976,2.4682670361328305,2.5524301389634294,2.5524301389634294,2.5524301389634294,0.90944066863752,1.5078123055828674
2024-01-01 00:00:00+00:00,2.620476286668579,2.5634770718669038,2.5339594669671874,2.50413859049977,2.474468588331797,2.55769896987684,2.55769896987684,2.55769896987684,0.9084110550081447,1.5067496783525183
2024-01-02 00:00:00+00:00,2.618936517473995,2.5738643076790657,2.551257544258478,2.520905527742553,2.4888736623511374,2.568150062030036,2.568150062030036,2.568150062030036,0.9095736576834372,1.5086141199716332
2024-01-03 00:00:00+00:00,2.611034440797147,2.572406806089124,2.547555396780204,2.5172069016991148,2.486351994299559,2.5668419461497614,2.5668419461497614,2.5668419461497614,0.9115717333813407,1.513004841024492
2024-01-04 00:00:00+00:00,2.592252099132414,2.57038388631631,2.544988940167216,2.5148103504634185,2.484196555108817,2.5647663544537633,2.5647663544537633,2.5647663544537633,0.9099120132349864,1.5092733334602817
2024-01-05 00:00:00+00:00,2.6522626638920115,2.570273462152359,2.54086939632846,2.510901238898681,2.4811579313032777,2.56458562911939,2.56458562911939,2.56458562911939,0.9095522751314823,1.5094634520850803
2024-01-08 00:00:00+00:00,2.5955974230172165,2.5760274079485668,2.549320043901856,2.5189622112276844,2.488757209673566,2.5703883861380605,2.5703883861380605,2.5703883861380605,0.9099549053622096,1.5102776981342658
2024-01-09 00:00:00+00:00,2.5833635985227312,2.5844089207663283,2.555195437677102,2.5246805246815534,2.4948817395093115,2.578749478809783,2.578749478809783,2.578749478809783,0.9114685354477772,1.5122473841557125
2024-01-10 00:00:00+00:00,2.5775244294598343,2.5783692760183845,2.548213863114575,2.517922958796009,2.4880136716519923,2.572684707776169,2.572684707776169,2.572684707776169,0.9092178343631737,1.5092931439746193
2024-01-11 00:00:00+00:00,2.639327983968422,2.580147095279995,2.5434294563456024,2.5134824813634347,2.4855604642865505,2.574463373345049,2.574463373345049,2.574463373345049,0.9094832022280087,1.5101624205114768
2024-01-12 00:00:00+00:00,2.6420757785621487,2.580297439497112,2.5414767898323456,2.5116613502674747,2.484797221145634,2.5746079565878466,2.5746079565878466,2.5746079565878466,0.9080936772732496,1.5111305675708289
2024-01-15 00:00:00+00:00,2.679222276581511,2.572305408778634,2.533898226130957,2.504058470670301,2.477093958287864,2.5666116828377823,2.5666116828377823,2.5666116828377823,0.9073413094874285,1.5112845618874935
2024-01-16 00:00:00+00:00,2.701622626691628,2.585597868758194,2.5453351541180744,2.515627619916084,2.489050431186754,2.579857297899454,2.579857297899454,2.579857297899454,0.9083406378424445,1.5144001514530248
2024-01-17 00:00:00+00:00,2.6816593373615993,2.5900643906008582,2.548615012531452,2.5188210135403963,2.492949679179535,2.5843877284655132,2.5843877284655132,2.5843877284655132,0.9117606429203023,1.51802599070746
2024-01-18 00:00:00+00:00,2.712596898408948,2.5894412639287934,2.5418849797241494,2.512617107461146,2.4884688105293122,2.583698241274088,2.583698241274088,2.583698241274088,0.9085384713014337,1.5141613727845562
2024-01-19 00:00:00+00:00,2.7140765936949696,2.594418478309773,2.5457468283500275,2.51645704167452,2.492504900163176,2.5886700344871585,2.5886700344871585,2.5886700344871585,0.9083949681457094,1.5155755431759474
2024-01-22 00:00:00+00:00,2.698301014320366,2.5952127494344857,2.5513120023283875,2.5217748990561057,2.4959484484521326,2.5894378161548457,2.5894378161548457,2.5894378161548457,0.9065132223694374,1.5141805776634178
2024-01-23 00:00:00+00:00,2.72483327764165,2.5993925897525085,2.5587471300306572,2.529304256068049,2.5018397709048346,2.593609306452962,2.593609306452962,2.593609306452962,0.9042395621926943,1.5169189617487235
2024-01-24 00:00:00+00:00,2.7127461841553995,2.6028670449842877,2.5575438162418633,2.527913697340323,2.5025057796013055,2.5971178482035007,2.5971178482035007,2.5971178482035007,0.9070859044429942,1.5208312080729653
2024-01-25 00:00:00+00:00,2.6999178542500473,2.612907493747645,2.5692123317615048,2.5394443037078824,2.5130031456355075,2.607232955054165,2.607232955054165,2.607232955054165,0.9130345151916706,1.5269411458676199
2024-01-26 00:00:00+00:00,2.6845499655455884,2.6150195317169147,2.5685281404040055,2.538499372111568,2.5135271134249617,2.609333927712257,2.609333927712257,2.609333927712257,0.9088277433262293,1.525090644113075
2024-01-29 00:00:00+00:00,2.689716277623308,2.626387420717275,2.579799646469988,2.549478332653483,2.52435873776706,2.6206732320603843,2.6206732320603843,2.6206732320603843,0.9102395287289109,1.5278644711655587
2024-01-30 00:00:00+00:00,2.6406665136817296,2.6223396554993035,2.5715835104874483,2.541332796715949,2.5183021288851926,2.616620778160844,2.616620778160844,2.616620778160844,0.908425147486034,1.5220127061526498
2024-01-31 00:00:00+00:00,2.662497381933402,2.627329405945628,2.5805714833794386,2.5503976009850016,2.526010725729827,2.6215704487175215,2.6215704487175215,2.6215704487175215,0.9065068448807038,1.5207483997003477
2024-02-01 00:00:00+00:00,2.647258773723213,2.6299806012905624,2.5802037235009467,2.5501526981922322,2.526863996805291,2.6242261836643515,2.6242261836643515,2.6242261836643515,0.9060606104794977,1.5209824583437972
2024-02-02 00:00:00+00:00,2.617820794841976,2.628689322153455,2.578453261631972,2.5479067305853516,2.5253445299537707,2.622924765720155,2.622924765720155,2.622924765720155,0.9073134846755131,1.521540277402198
2024-02-05 00:00:00+00:00,2.6592589282053876,2.6400290953553713,2.585118642776119,2.554277592453765,2.5336641632905144,2.634238922955142,2.634238922955142,2.634238922955142,0.9055801111661794,1.524809287768903
2024-02-06 00:00:00+00:00,2.7096102063120644,2.6294057901722114,2.5744503295924757,2.5440597464129495,2.5236945802331827,2.623590111526813,2.623590111526813,2.623590111526813,0.9003211139689286,1.519580913264555
2024-02-07 00:00:00+00:00,2.716597476542547,2.634770620776955,2.5761090027336495,2.5456656257218566,2.526185923027186,2.629004072919416,2.629004072919416,2.629004072919416,0.9020593467122714,1.5184251731969276
2024-02-08 00:00:00+00:00,2.7030695101659203,2.632658034341239,2.5730207938494027,2.542435858826702,2.5233091688309774,2.626888109058586,2.626888109058586,2.626888109058586,0.8995630436917013,1.5187901945341684
2024-02-09 00:00:00+00:00,2.647508880194815,2.631098066544008,2.579239713450571,2.548475517984451,2.527081565571359,2.6253421808072,2.6253421808072,2.6253421808072,0.8999780312557767,1.518266320296953
2024-02-12 00:00:00+00:00,2.6425701920417963,2.63345432766827,2.586123419148021,2.5551369359145117,2.5322331257805835,2.6276872370556483,2.6276872370556483,2.6276872370556483,0.8994913790987386,1.517995521626429
2024-02-13 00:00:00+00:00,2.6076030162971375,2.642438310871119,2.5950081041569097,2.5640953762205574,2.5407622901956,2.6366225226606232,2.6366225226606232,2.6366225226606232,0.9000027585340943,1.5198504286543666
2024-02-14 00:00:00+00:00,2.6195164840894387,2.6533634529432235,2.599031072879059,2.568448361862596,2.547147607676443,2.6474695093115277,2.6474695093115277,2.6474695093115277,0.8997830619995892,1.5229315340657141
2024-02-15 00:00:00+00:00,2.5825168239960203,2.646556192330015,2.592204818035466,2.561747632975832,2.5403233579744358,2.640730177268755,2.640730177268755,2.640730177268755,0.9002900072495955,1.5208900798310145
2024-02-16 00:00:00+00:00,2.6196645446662714,2.6440139421214375,2.5877496363670773,2.5575535411107393,2.536607192878203,2.6381593136237522,2.6381593136237522,2.6381593136237522,0.9003145245493083,1.522029208828916
2024-02-19 00:00:00+00:00,2.6477046934608763,2.6394867931835955,2.585080344304205,2.5547828770811725,2.5334307405275545,2.633706418824089,2.633706418824089,2.633706418824089,0.8983372768463699,1.519974440869608
2024-02-20 00:00:00+00:00,2.659930380253195,2.6375091604797496,2.5850432282750897,2.554748882821756,2.532972692170498,2.631695112501712,2.631695112501712,2.631695112501712,0.8967268512000774,1.5189207555093414
2024-02-21 00:00:00+00:00,2.678564604858506,2.6381127237072817,2.582247223468855,2.5521981370377955,2.5314236402202153,2.632327021406795,2.632327021406795,2.632327021406795,0.8971543414972977,1.519787863540173
2024-02-22 00:00:00+00:00,2.6779576379662124,2.6317818480174777,2.572118983816298,2.542304040017991,2.5228560138799785,2.625991555730618,2.625991555730618,2.625991555730618,0.8957973343494816,1.5173667725268027
2024-02-23 00:00:00+00:00,2.66670388317051,2.6229195757403434,2.5626401884668537,2.5332159584300866,2.513872016406001,2.6171452514544566,2.6171452514544566,2.6171452514544566,0.8940628573699324,1.5148948007141272
2024-02-26 00:00:00+00:00,2.6422323677170603,2.6262246686008672,2.5685413262998864,2.5389578898366647,2.5184963105012423,2.6204571336085833,2.6204571336085833,2.6204571336085833,0.8963296075607328,1.5172151910039566
2024-02-27 00:00:00+00:00,2.6754171521998322,2.6223955535863457,2.5635721938150655,2.534004867981202,2.5138025960965416,2.6166505304868526,2.6166505304868526,2.6166505304868526,0.8968989862571913,1.5171276148423465
2024-02-28 00:00:00+00:00,2.697740537153278,2.63330965964368,2.577119999635134,2.5472974540260576,2.5258945891323257,2.627550930571768,2.627550930571768,2.627550930571768,0.8982324616457982,1.5215312732844903
2024-02-29 00:00:00+00:00,2.7304534674754484,2.640555583313989,2.584621180377415,2.5547241076535667,2.5330257690273243,2.634790679525022,2.634790679525022,2.634790679525022,0.9002912962795597,1.525687484690415
2024-03-01 00:00:00+00:00,2.728539051784498,2.646466159970196,2.5963268158336934,2.566297063629953,2.5423453853357247,2.640616302415166,2.640616302415166,2.640616302415166,0.8970919062543646,1.5265525189502758
2024-03-04 00:00:00+00:00,2.740522070711573,2.6532920391314905,2.5992200161591743,2.5691457665742634,2.546714953333799,2.6474570220307716,2.6474570220307716,2.6474570220307716,0.9022554800287974,1.5337435366720267
2024-03-05 00:00:00+00:00,2.7418735943849257,2.6498577966049215,2.590106054826776,2.5597910985903543,2.539799535010302,2.6440534079999503,2.6440534079999503,2.6440534079999503,0.9033866364668786,1.5380122248467598
2024-03-06 00:00:00+00:00,2.752253034830684,2.6563338679591313,2.6015635909148256,2.571106458671431,2.5496629827887176,2.650478709850868,2.650478709850868,2.650478709850868,0.8986674267071695,1.5335058063025961
2024-03-07 00:00:00+00:00,2.7157910111165138,2.6576721155015433,2.6032471393882037,2.5726055050986685,2.55139421249949,2.6518054413917387,2.6518054413917387,2.6518054413917387,0.8991962193793138,1.531639970372298
2024-03-08 00:00:00+00:00,2.7017776325367002,2.653664522137667,2.5915171547822538,2.5604983797807184,2.543058326743424,2.6478003898788405,2.6478003898788405,2.6478003898788405,0.8933514499349436,1.5290114261750467
2024-03-11 00:00:00+00:00,2.7173762339627454,2.6573510325269645,2.6038835388933084,2.571960405314115,2.5519255223297117,2.6514518517712204,2.6514518517712204,2.6514518517712204,0.8925859618406714,1.5262065344614086
2024-03-12 00:00:00+00:00,2.698787524959081,2.651194861924467,2.6015419701877636,2.570011422793619,2.5484774800573766,2.6452477766035507,2.6452477766035507,2.6452477766035507,0.8899516178382656,1.5203254618908133
2024-03-13 00:00:00+00:00,2.669768599411859,2.6414209367741908,2.592552712258446,2.5612382310670294,2.5396940960792724,2.6355418409245965,2.6355418409245965,2.6355418409245965,0.8882631527977202,1.5127171312409768
2024-03-14 00:00:00+00:00,2.6961851865549655,2.6364522426305323,2.5741638108245195,2.5421381787515434,2.5256660285673838,2.630588457277178,2.630588457277178,2.630588457277178,0.8888246259617122,1.5095061158996483
2024-03-15 00:00:00+00:00,2.6968117165644556,2.6386502446829505,2.5732533349087214,2.5412555811742923,2.5257649075973028,2.6327730507812497,2.6327730507812497,2.6327730507812497,0.8893704355600108,1.5090404311403367
2024-03-18 00:00:00+00:00,2.7293347306254363,2.6386213012458657,2.5710118177136008,2.5389427450655173,2.5241444263742623,2.6327355302456583,2.6327355302456583,2.6327355302456583,0.8864383359967265,1.5032241674013758
2024-03-19 00:00:00+00:00,2.772016205927336,2.640968349338765,2.5736205310157874,2.5413356817069275,2.525944878541807,2.635051468041748,2.635051468041748,2.635051468041748,0.8821308163346844,1.4983086099278977
2024-03-20 00:00:00+00:00,2.76991948474624,2.6490262028694747,2.574212757623364,2.542141117715951,2.5286180883886065,2.6430972491348608,2.6430972491348608,2.6430972491348608,0.8826974806814586,1.5000559303866843
2024-03-21 00:00:00+00:00,2.7904292869427976,2.6491054048007747,2.5684815316108196,2.536296433286407,2.524429833367433,2.6431908389495407,2.6431908389495407,2.6431908389495407,0.8841400860347142,1.4995274533702696
2024-03-22 00:00:00+00:00,2.7318689087774883,2.660933823098633,2.5784340146521343,2.546076159940407,2.5344252953173787,2.654846415448805,2.654846415448805,2.654846415448805,0.8843236304360664,1.500595971362379
2024-03-25 00:00:00+00:00,2.754604235798143,2.6583338542110893,2.5768426401979574,2.544187836510576,2.532325072495537,2.6522839345776,2.6522839345776,2.6522839345776,0.8847531563076145,1.4998209224460548
2024-03-26 00:00:00+00:00,2.744885142250491,2.661261328797452,2.57755941829132,2.544608188033654,2.5340841856201335,2.6552477634841414,2.6552477634841414,2.6552477634841414,0.884529067028257,1.5026533689032682
2024-03-27 00:00:00+00:00,2.7533740168856875,2.6624014922840677,2.5768800799381886,2.5436041560540255,2.533986164191114,2.656358004858538,2.656358004858538,2.656358004858538,0.8821711532983404,1.4953953757363148
2024-03-28 00:00:00+00:00,2.7466884807487633,2.6653336496329225,2.5819791854800114,2.548786769969342,2.5380922181121064,2.65932082101478,2.65932082101478,2.65932082101478,0.8863465481543984,1.5021351171834185
2024-03-29 00:00:00+00:00,2.68702330125546,2.6744354098352354,2.597282280938604,2.5633530756575538,2.551047797423516,2.6683729606209914,2.6683729606209914,2.6683729606209914,0.8875664665070556,1.4994853036981515
2024-04-01 00:00:00+00:00,2.666209356503523,2.6807319818333744,2.605188613279837,2.571045237520058,2.5583627330310317,2.674649274829724,2.674649274829724,2.674649274829724,0.8888724434289316,1.4987810302824827
2024-04-02 00:00:00+00:00,2.5984326991670557,2.685331542718175,2.610595639616835,2.576396407094277,2.5631476473781336,2.6792716002180064,2.6792716002180064,2.6792716002180064,0.8916217811936417,1.4993721180128954
2024-04-03 00:00:00+00:00,2.6117960445484254,2.6817856591310587,2.6054605914743614,2.57156284172613,2.558445537186532,2.675908385518122,2.675908385518122,2.675908385518122,0.8928968397642589,1.4997917200346373
2024-04-04 00:00:00+00:00,2.591488741569727,2.694418100508849,2.6210283042119404,2.586562644813101,2.572969462614108,2.6885165154293107,2.6885165154293107,2.6885165154293107,0.8941915445581976,1.5036211226886578
2024-04-05 00:00:00+00:00,2.6114824277466004,2.6969173602308687,2.6283834585165353,2.593445197448068,2.5792988343962837,2.6910052926403085,2.6910052926403085,2.6910052926403085,0.8949795004394492,1.5044454568400731
